"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"9","3","DISEASES","","Endometrial carcinoma","0.0051","PGR|CYP19A1|AKT1","128","307|310|301","6.66E-6","","DOID:2871","0.3378595529068937","0"
"2722","23","GO Biological Process","","Nucleobase-containing compound metabolic process","0.0055","CDK5RAP1|NAMPT|CDADC1|DCPS|THRA|CAD|EZH2|KARS1|WARS1|PNP|UCK1|RFC4|CYP1A1|THRB|EBNA1BP2|TOP2A|ADK|SNW1|ACLY|CPSF1|RAD51|HARS2|MED19","128","400|247|457|487|274|499|220|316|325|250|475|373|337|277|460|268|346|439|394|433|379|319|415","5.92E-6","","GO:0006139","0.3330265744666153","0"
"6444","37","TISSUES","","Reproductive system","0.0055","HDAC7|NID2|ABCB7|PSMB7|SLC6A4|THRA|HPX|SIGMAR1|AKR1B1|PSMB4|TLR3|EZH2|PGR|METAP2|KARS1|TMLHE|WARS1|PNP|HSD11B1|SOAT1|IRAK1|UCK1|EIF2S2|AKR1C3|PITRM1|SEC13|RFC4|PRKAR1A|CYP1A1|CYP19A1|TOP2A|ADK|SNW1|AKT1|ACLY|RAD51|NR1H2","128","217|409|478|256|445|274|463|493|283|259|292|220|307|484|316|490|325|250|352|472|295|475|481|286|442|427|373|403|337|310|268|346|439|301|394|379|412","2.03E-5","","BTO:0000081","0.3330265744666153","0"
"1337","15","Reactome Pathways","","RNA Polymerase II Transcription","0.0055","HDAC7|NAMPT|PSMB7|THRA|PSMB4|EZH2|PGR|IRAK1|RFC4|THRB|SNW1|AKT1|CPSF1|RAD51|NR1H2","128","217|247|256|274|259|220|307|295|373|277|439|301|433|379|412","1.67E-5","","HSA-73857","0.3330265744666153","0"
"144","6","GO Biological Process","","Olefinic compound metabolic process","0.007","AKR1B1|CYP1A2|ALOX5|AKR1C3|CYP1A1|CYP19A1","128","283|331|358|286|337|310","8.23E-6","","GO:0120254","0.31759062160503265","0"
"81","5","GO Biological Process","","Glycosyl compound metabolic process","0.007","CDADC1|AKR1B1|PNP|AKR1C3|ADK","128","457|283|250|286|346","8.0E-6","","GO:1901657","0.31759062160503265","0"
"1215","14","Reactome Pathways","","Generic Transcription Pathway","0.0072","HDAC7|NAMPT|PSMB7|THRA|PSMB4|EZH2|PGR|IRAK1|RFC4|THRB|SNW1|AKT1|RAD51|NR1H2","128","217|247|256|274|259|220|307|295|373|277|439|301|379|412","2.54E-5","","HSA-212436","0.3157875007714036","0"
"177","6","GO Molecular Function","","Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","0.0074","TMLHE|CYP1A2|AKR1C3|CYP1A1|CYP19A1|KDM4E","128","490|331|286|337|310|430","2.55E-5","","GO:0016705","0.31403378677673244","0"
"3463","26","GO Biological Process","","Cellular nitrogen compound metabolic process","0.0075","CDK5RAP1|NAMPT|CDADC1|DCPS|THRA|CAD|EZH2|KARS1|TMLHE|WARS1|PNP|UCK1|EIF2S2|RFC4|CYP1A1|THRB|EBNA1BP2|TOP2A|ADK|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19","128","400|247|457|487|274|499|220|316|490|325|250|475|481|373|337|277|460|268|346|439|301|394|433|379|319|415","9.56E-6","","GO:0034641","0.3131746254648669","0"
"52","4","Reactome Pathways","","Nuclear Receptor transcription pathway","0.0077","THRA|PGR|THRB|NR1H2","128","274|307|277|412","3.04E-5","","HSA-383280","0.31149014517807305","0"
"17","3","Reactome Pathways","","Biosynthesis of DHA-derived SPMs","0.0077","CYP1A2|ALOX5|CYP1A1","128","331|358|337","3.39E-5","","HSA-9018677","0.31149014517807305","0"
"53","4","GO Molecular Function","","Nuclear receptor activity","0.0089","THRA|PGR|THRB|NR1H2","128","274|307|277|412","3.26E-5","","GO:0004879","0.3022200149019507","0"
