"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"42","4","GO Biological Process","","Purine ribonucleoside monophosphate metabolic process","6.21E-6","NT5C|NT5C2|PNP|ADK","3389","3730|3748|3481|3508","1.27E-8","","GO:0009167","0.520690839982342","0"
"7","3","STRING Clusters","","Pyridine nucleotide biosynthesis","7.26E-6","NAMPT|NMRK1|NAPRT","3389","3478|3772|3754","2.06E-8","","CL:10928","0.5139063379299906","0"
"9","3","GO Biological Process","","Allantoin metabolic process","1.69E-5","NT5C|NT5C2|PNP","3389","3730|3748|3481","3.78E-8","","GO:0000255","0.4772113295386326","0"
"12","3","UniProt Keywords","","Pyridine nucleotide biosynthesis","1.75E-5","NAMPT|NMRK1|NAPRT","3389","3478|3772|3754","7.81E-8","","KW-0662","0.47569619513137057","0"
"11","3","Reactome Pathways","","Ribavirin ADME","2.38E-5","NT5C2|PNP|ADK","3389","3748|3481|3508","6.25E-8","","HSA-9755088","0.46234230429434875","0"
"14","3","GO Biological Process","","Deoxyribonucleoside monophosphate catabolic process","4.46E-5","NT5C|PNP|NT5M","3389","3730|3481|3742","1.17E-7","","GO:0009159","0.43506651412878583","0"
"78","4","GO Biological Process","","Nucleotide catabolic process","5.01E-5","NT5C|NT5C2|PNP|NT5M","3389","3730|3748|3481|3742","1.34E-7","","GO:0009166","0.4300162274132754","0"
"17","3","Reactome Pathways","","Purine catabolism","5.58E-5","NT5C|NT5C2|PNP","3389","3730|3748|3481","1.95E-7","","HSA-74259","0.42533658010624215","0"
"19","3","Reactome Pathways","","Nicotinamide salvaging","6.69E-5","NAMPT|NAPRT|NNMT","3389","3478|3754|3766","2.64E-7","","HSA-197264","0.41745738822321765","0"
"16","3","WikiPathways","","Tryptophan catabolism leading to NAD+ production","1.3E-4","NAMPT|NMRK1|NAPRT","3389","3478|3772|3754","1.66E-7","","WP4210","0.3886056647693163","0"
"22","3","WikiPathways","","NAD+ biosynthetic pathways","1.5E-4","NAMPT|BST1|NAPRT","3389","3478|3760|3754","3.94E-7","","WP3645","0.38239087409443184","0"
"287","5","GO Biological Process","","Nucleobase-containing compound catabolic process","1.6E-4","NT5C|NT5C2|PNP|NT5M|NT5C3B","3389","3730|3748|3481|3742|3787","5.02E-7","","GO:0034655","0.3795880017344075","0"
"28","3","GO Biological Process","","Deoxyribonucleotide catabolic process","2.5E-4","NT5C|PNP|NT5M","3389","3730|3481|3742","7.67E-7","","GO:0009264","0.3602059991327963","0"
"28","3","GO Biological Process","","Deoxyribose phosphate catabolic process","2.5E-4","NT5C|PNP|NT5M","3389","3730|3481|3742","7.67E-7","","GO:0046386","0.3602059991327963","0"
"30","3","GO Biological Process","","Cellular metabolic compound salvage","2.9E-4","PNP|NAPRT|ADK","3389","3481|3754|3508","9.31E-7","","GO:0043094","0.3537602002101044","0"
"5522","12","GO Molecular Function","","Catalytic activity","3.9E-4","NAMPT|NT5C|BST1|NT5C2|PNP|NMRK1|NT5M|NT5C3B|NAPRT|NT5C1B-RDH14|NNMT|ADK","3389","3478|3730|3760|3748|3481|3772|3742|3787|3754|3736|3766|3508","2.38E-7","","GO:0003824","0.3408935392973501","0"
"170","4","GO Biological Process","","Carbohydrate derivative catabolic process","7.6E-4","NT5C|NT5C2|PNP|NT5M","3389","3730|3748|3481|3742","2.75E-6","","GO:1901136","0.3119186407719209","0"
"425","5","GO Biological Process","","Purine-containing compound metabolic process","9.0E-4","NT5C|NT5C2|PNP|NT5C1B-RDH14|ADK","3389","3730|3748|3481|3736|3508","3.37E-6","","GO:0072521","0.30457574905606755","0"
"77","4","InterPro Domains","","HAD superfamily","9.2E-4","NT5C|NT5C2|NT5M|NT5C3B","3389","3730|3748|3742|3787","1.28E-7","","IPR023214","0.3036212172654445","0"
"81","4","InterPro Domains","","HAD-like superfamily","9.2E-4","NT5C|NT5C2|NT5M|NT5C3B","3389","3730|3748|3742|3787","1.55E-7","","IPR036412","0.3036212172654445","0"
"5","2","GO Biological Process","","dGMP metabolic process","0.0018","NT5C|NT5C2","3389","3730|3748","7.12E-6","","GO:0046054","0.2744727494896694","0"
"6","2","GO Biological Process","","Purine deoxyribonucleoside monophosphate catabolic process","0.0023","NT5C|PNP","3389","3730|3481","9.49E-6","","GO:0009172","0.2638272163982407","0"
"6","2","GO Biological Process","","dUMP catabolic process","0.0023","NT5C|NT5M","3389","3730|3742","9.49E-6","","GO:0046079","0.2638272163982407","0"
"7","2","GO Biological Process","","Purine ribonucleoside salvage","0.0028","PNP|ADK","3389","3481|3508","1.22E-5","","GO:0006166","0.2552841968657781","0"
"7","2","GO Biological Process","","dAMP metabolic process","0.0028","PNP|ADK","3389","3481|3508","1.22E-5","","GO:0046053","0.2552841968657781","0"
"998","6","GO Biological Process","","Carbohydrate derivative metabolic process","0.0028","NT5C|NT5C2|PNP|NT5M|NT5C1B-RDH14|ADK","3389","3730|3748|3481|3742|3736|3508","1.22E-5","","GO:1901135","0.2552841968657781","0"
