"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"164","12","UniProt Keywords","","Lipid biosynthesis","1.1E-4","HSD17B2|HSD17B7|MSMO1|CYP11B1|HPGDS|CYP3A7|PTGES|DHCR7|IDI1|CYP1A1|ACLY|CYP3A4","128","1013|1124|2414|1094|1319|1205|2228|1169|466|337|394|1082","3.66E-6","","KW-0444","0.3958607314841775","0"
"84","9","WikiPathways","","Pyrimidine metabolism","1.1E-4","NT5C|CAD|ENTPD3|UPP1|UCK1|NT5M|TYMP|ENPP3|ENPP1","128","1535|499|3008|1982|475|1553|1973|1235|1241","3.6E-6","","WP4022","0.3958607314841775","0"
"53","8","GO Biological Process","","mRNA 3-end processing","1.2E-4","CPSF4L|CPSF1|SSU72P4|SSU72P2|SSU72P3|SSU72P7|SSU72P5|SSU72P8","128","4706|433|4715|4739|4727|4733|4709|4721","1.24E-6","","GO:0031124","0.39208187539523753","0"
"13","6","COMPARTMENTS","","Aryl hydrocarbon receptor complex","1.3E-4","AHR|AHRR|CYP1A2|CYP1A1|AHRR-2|CYP1B1","128","2096|3986|331|337|5675|1100","1.11E-7","","GOCC:0034751","0.3886056647693163","0"
"22","6","GO Biological Process","","Pyrimidine nucleotide catabolic process","1.3E-4","NT5C|UPP1|NT5M|TYMP|UPP2|NT5C3A","128","1535|1982|1553|1973|1994|2009","1.4E-6","","GO:0006244","0.3886056647693163","0"
"148","12","GO Biological Process","","Intracellular receptor signaling pathway","1.3E-4","AHR|THRA|AHRR|PGR|RXRG|TIFA|THRB|NCOA1|NCOA2|AHRR-2|SNW1|NR1H2","128","2096|274|3986|307|2852|4952|277|2099|2105|5675|439|412","1.35E-6","","GO:0030522","0.3886056647693163","0"
"11","5","GO Biological Process","","Adenosine metabolic process","1.3E-4","NT5C1A|NT5C2|NT5C1B|ADA2|NT5C1B-RDH14","128","1547|1559|1529|1958|1541","1.43E-6","","GO:0046085","0.3886056647693163","0"
"11","5","GO Biological Process","","Omega-hydroxylase P450 pathway","1.3E-4","CYP4A11|CYP1A2|CYP2C8|CYP1A1|CYP1B1","128","1694|331|1724|337|1100","1.43E-6","","GO:0097267","0.3886056647693163","0"
"4335","91","GO Molecular Function","","Cation binding","1.3E-4","HDAC7|SIRT4|NID2|CDK5RAP1|STS|CYP3A5|NT5C1A|MMP8|PLA2G12A|NT5C|CDADC1|ALOX12|TRIM45|PHC2|MMP20|MSMO1|SLC6A4|ASPA|THRA|CAD|PDE8B|HPX|PDE3B|PDE11A|FRRS1|TIMP4|CYP11B1|ALOX15|HPGDS|MELK|GNPTAB|CYP2A6|CYP7A1|CYP2S1|ADAT1|CYP4A11|CYP2B6|PGR|METAP2|CYP11B2|TPH2|CYP2A13|TMLHE|CYP3A7|NT5C2|CYP1A2|CPSF4L|MMP23B|RXRG|NT5C1B|MMP21|PCGF6|CYP17A1|CYP2C8|ENTPD8|CYP4A22|ALOX5|EIF2S2|PLA2G2D|NMRK1|KIN|MMP26|PITRM1|IDI1|NT5M|PDE8A|CYP1A1|CYP19A1|THRB|ADA2|CASTOR1|RNF212|NT5C3B|KDM4E|NAPRT|ENPP3|TOP2A|NT5C1B-RDH14|PHC1|CYP2E1|ADK|ACLY|MMP28|NT5C3A|CYP1B1|NMRK2|PDE8B-2|ENPP1|CYP26C1|CYP3A4|NR1H2","128","217|1232|409|400|1214|1088|1547|454|2216|1535|457|2291|2471|1397|2549|2414|445|2636|274|499|2723|463|2237|3068|2816|2024|1094|2300|1319|1871|3266|1346|1226|1283|3824|1694|1295|307|484|1070|2603|1337|490|1205|1559|331|4706|2822|2852|1529|2810|1382|1148|1724|1952|1652|358|481|361|1586|5480|2831|442|466|1553|2738|337|310|277|1958|5597|5840|2003|430|1574|1235|268|1541|1388|1178|346|394|2837|2009|1100|1568|5654|1241|1631|1082|412","1.65E-6","","GO:0043169","0.3886056647693163","0"
"38","7","GO Molecular Function","","Oxygen binding","1.4E-4","CYP3A5|CYP3A7|CYP17A1|CYP1A1|CYP19A1|CYP2E1|CYP3A4","128","1088|1205|1148|337|310|1178|1082","1.79E-6","","GO:0019825","0.38538719643217617","0"
"159","14","Monarch Phenotype","","Vitamin D measurement","1.4E-4","UGT2A3|PDE3B|UGT1A6|UGT2B7|UGT1A10|UGT1A9|DHCR7|UGT1A4|UGT1A5|UGT1A7|UGT1A8|AKR1C4|CDKL1|ENPP3","128","1679|2237|1022|1034|1058|1742|1169|1028|1664|1760|1040|1463|5669|1235","6.82E-8","","EFO:0004631","0.38538719643217617","0"
"45","7","WikiPathways","","Aryl hydrocarbon receptor pathway","1.5E-4","AHR|HPGDS|CYP1A2|CYP1A1|NCOR2|AHRR-2|CYP1B1","128","2096|1319|331|337|1001|5675|1100","4.88E-6","","WP2586","0.38239087409443184","0"
"45","7","WikiPathways","","Prostaglandin synthesis and regulation","1.5E-4","PTGER2|AKR1B1|HPGDS|PTGES|HSD11B1|AKR1C3|AKR1C1","128","469|283|1319|2228|352|286|1472","4.88E-6","","WP98","0.38239087409443184","0"
"38","7","GO Biological Process","","Pyridine-containing compound metabolic process","1.6E-4","NAMPT|PNP|NMRK1|ASPDH|NAPRT|NNMT|NMRK2","128","247|250|1586|2639|1574|1250|1568","1.79E-6","","GO:0072524","0.3795880017344075","0"
"38","7","GO Biological Process","","Pyrimidine-containing compound catabolic process","1.6E-4","NT5C|CDADC1|UPP1|NT5M|TYMP|UPP2|NT5C3A","128","1535|457|1982|1553|1973|1994|2009","1.79E-6","","GO:0072529","0.3795880017344075","0"
"277","16","GO Biological Process","","Nucleoside phosphate biosynthetic process","1.6E-4","NAMPT|CAD|KARS1|UPP1|PNP|ENTPD8|UCK1|NMRK1|ASPDH|GARS1|NAPRT|NNMT|ADK|ACLY|UPP2|NMRK2","128","247|499|316|1982|250|1952|475|1586|2639|1904|1574|1250|346|394|1994|1568","1.7E-6","","GO:1901293","0.3795880017344075","0"
