"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"2","2","GO Biological Process","","tryptophanyl-tRNA aminoacylation","8.9E-4","WARS2|WARS1","1048","1394|1167","2.04E-6","","GO:0006436","0.30506099933550873","0"
"2","2","GO Biological Process","","Diadenosine tetraphosphate biosynthetic process","8.9E-4","KARS1|GARS1","1048","1137|1406","2.04E-6","","GO:0015966","0.30506099933550873","0"
"2","2","GO Biological Process","","Mitochondrial seryl-tRNA aminoacylation","8.9E-4","SARS2-2|SARS2","1048","1415|1421","2.04E-6","","GO:0070158","0.30506099933550873","0"
"1917","8","Reactome Pathways","","Metabolism of proteins","0.0013","WARS2|MARS2|CGB5|KARS1|WARS1|GARS1|SARS2|HARS2","1048","1394|1427|1457|1137|1167|1406|1421|1140","2.82E-6","","HSA-392499","0.2886056647693163","0"
"105","4","DISEASES","","Charcot-Marie-Tooth disease","0.0019","MARS2|KARS1|WARS1|GARS1","1048","1427|1137|1167|1406","4.23E-7","","DOID:10595","0.27212463990471714","0"
"2","2","InterPro Domains","","Tryptophan-tRNA ligase","0.0024","WARS2|WARS1","1048","1394|1167","2.04E-6","","IPR002306","0.2619788758288394","0"
"43","3","InterPro Domains","","Rossmann-like alpha/beta/alpha sandwich fold","0.0026","WARS2|MARS2|WARS1","1048","1394|1427|1167","2.58E-6","","IPR014729","0.2585026652029182","0"
"5","2","GO Biological Process","","selenocysteinyl-tRNA(Sec) biosynthetic process","0.0027","SARS2-2|SARS2","1048","1415|1421","7.12E-6","","GO:0097056","0.25686362358410125","0"
"74","3","GO Molecular Function","","tRNA binding","0.0029","KARS1|SARS2-2|SARS2","1048","1137|1415|1421","1.23E-5","","GO:0000049","0.25376020021010437","0"
"3","2","InterPro Domains","","Serine-tRNA ligase, type1","0.003","SARS2-2|SARS2","1048","1415|1421","3.39E-6","","IPR002317","0.25228787452803375","0"
"3","2","InterPro Domains","","Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm","0.003","SARS2-2|SARS2","1048","1415|1421","3.39E-6","","IPR010978","0.25228787452803375","0"
"3","2","InterPro Domains","","Serine-tRNA ligase catalytic core domain","0.003","SARS2-2|SARS2","1048","1415|1421","3.39E-6","","IPR033729","0.25228787452803375","0"
"4","2","InterPro Domains","","Aminoacyl-tRNA synthetase, class Ic","0.0033","WARS2|WARS1","1048","1394|1167","5.09E-6","","IPR002305","0.24814860601221125","0"
"1181","6","UniProt Keywords","","Mitochondrion","0.0036","WARS2|MARS2|KARS1|GARS1|SARS2|HARS2","1048","1394|1427|1137|1406|1421|1140","3.18E-5","","KW-0496","0.24436974992327126","0"
"108","3","UniProt Keywords","","Neuropathy","0.0036","KARS1|WARS1|GARS1","1048","1137|1167|1406","3.68E-5","","KW-0622","0.24436974992327126","0"
"349","4","UniProt Keywords","","Neurodegeneration","0.0038","MARS2|KARS1|WARS1|GARS1","1048","1427|1137|1167|1406","4.47E-5","","KW-0523","0.242021640338319","0"
"4","2","Pfam","","tRNA synthetases class I (W and Y)","0.0039","WARS2|WARS1","1048","1394|1167","5.09E-6","","PF00579","0.24089353929735008","0"
"5","2","InterPro Domains","","WHEP-TRS domain","0.0043","WARS1|GARS1","1048","1167|1406","7.12E-6","","IPR000738","0.23665315444204132","0"
"379","5","COMPARTMENTS","","Mitochondrial matrix","0.0045","WARS2|MARS2|KARS1|SARS2|HARS2","1048","1394|1427|1137|1421|1140","1.93E-6","","GOCC:0005759","0.23467874862246565","0"
"5","2","STRING Clusters","","tRNA synthetases class I (W and Y), and Valine-tRNA ligase","0.0047","WARS2|WARS1","1048","1394|1167","7.12E-6","","CL:818","0.23279021420642826","0"
"5","2","SMART Domains","","A conserved domain of 46 amino acids, called WHEP-TRS has been shown PUBMED:1756734 to exist in a number of higher eukaryote aminoacyl-transfer RNA synthetases. This domain is present one to six times in the several enzymes. There are three copies in ...","0.0058","WARS1|GARS1","1048","1167|1406","7.12E-6","","SM00991","0.22365720064370626","0"
"7","2","InterPro Domains","","S15/NS1, RNA-binding","0.0067","WARS1|GARS1","1048","1167|1406","1.22E-5","","IPR009068","0.21739251972991736","0"
"1681","7","GO Cellular Component","","Mitochondrion","0.0184","WARS2|MARS2|KARS1|GARS1|SARS2-2|SARS2|HARS2","1048","1394|1427|1137|1406|1415|1421|1140","1.8E-5","","GO:0005739","0.17351821769904635","0"
"545","4","UniProt Keywords","","Transit peptide","0.0184","WARS2|MARS2|SARS2|HARS2","1048","1394|1427|1421|1140","2.5E-4","","KW-0809","0.17351821769904635","0"
"15","2","InterPro Domains","","Aminoacyl-tRNA synthetase, class I, conserved site","0.0236","WARS2|WARS1","1048","1394|1167","4.6E-5","","IPR001412","0.16270879970298935","0"
"237","3","UniProt Keywords","","Deafness","0.0243","MARS2|KARS1|HARS2","1048","1427|1137|1140","3.6E-4","","KW-0209","0.16143937264016878","0"
"5522","10","GO Molecular Function","","Catalytic activity","0.0248","WARS2|MARS2|ADAT1|KARS1|TARS3|WARS1|GARS1|SARS2-2|SARS2|HARS2","1048","1394|1427|1463|1137|1397|1167|1406|1415|1421|1140","1.1E-4","","GO:0003824","0.16055483191737838","0"
"55","2","UniProt Keywords","","Charcot-Marie-Tooth disease","0.0325","KARS1|GARS1","1048","1137|1406","5.3E-4","","KW-0144","0.14881166390211256","0"
"1182","6","COMPARTMENTS","","Mitochondrion","0.0367","WARS2|MARS2|KARS1|GARS1|SARS2|HARS2","1048","1394|1427|1137|1406|1421|1140","3.19E-5","","GOCC:0005739","0.14353339357479106","0"
"13","2","DISEASES","","Charcot-Marie-Tooth disease intermediate type","0.0484","KARS1|GARS1","1048","1137|1406","3.55E-5","","DOID:0050543","0.13151546383555873","0"
"5977","10","GO Molecular Function","","Heterocyclic compound binding","0.0494","WARS2|MARS2|ADAT1|KARS1|TARS3|WARS1|GARS1|SARS2-2|SARS2|HARS2","1048","1394|1427|1463|1137|1397|1167|1406|1415|1421|1140","2.3E-4","","GO:1901363","0.13062730510763532","0"
